,R,G,B,label
6327,0.6141797677314489,0.6055603634703085,0.5320948627732616,1.0
6422,0.5473857790003038,0.5053334808795864,0.485537762180031,1.0
5678,0.5603864799082747,0.5300437393696793,0.5212983686578473,1.0
5735,0.5578099377749631,0.4626960664373408,0.3749194720706976,1.0
5940,0.5244446698705351,0.4984319642925072,0.4611014037000875,1.0
5685,0.455443913554688,0.4804765460730685,0.4565565559488322,1.0
5251,0.3862927666411071,0.5036810568316455,0.5205299770971126,1.0
5448,0.4139669803525558,0.3464123366362119,0.283210912826699,1.0
6392,0.5639761981815951,0.5305894622768682,0.4726923871896413,1.0
5953,0.4765750489367362,0.4279451500570751,0.3591100526213346,1.0
6445,0.4727278575267281,0.4738370460859727,0.3683923729546603,1.0
6344,0.488276122768493,0.4290448501953331,0.3463086164753697,1.0
5481,0.5,0.5,0.5,1.0
6085,0.5456451474205586,0.5482881563560585,0.4776311785251405,1.0
5260,0.4028149331004834,0.4022060277180535,0.3441851130840894,1.0
5615,0.5491966958661083,0.5554458948622931,0.4571408645765898,1.0
6141,0.4693956912430309,0.4292387572362749,0.3749831990743903,1.0
5287,0.443830417219882,0.4460561821645364,0.3083019090905802,1.0
6376,0.5,0.5,0.5,1.0
5772,0.5473688901066813,0.4610151130817207,0.3769299174253652,1.0
793,0.5009912877901997,0.4963428116135789,0.4774309385652016,-1.0
19,0.5687490897221118,0.4870926071895667,0.2835334663894299,-1.0
548,0.4534485753370053,0.5117035789536596,0.4152719134436287,-1.0
409,0.5038443612036667,0.4510465221755021,0.3508846248542694,-1.0
943,0.4304161953242835,0.4268938536953242,0.4037302036199095,-1.0
864,0.4968086842505106,0.4903330125698035,0.432789686045661,-1.0
1204,0.5277447597894128,0.5306131181171746,0.4336613154517661,-1.0
758,0.4527082800354022,0.4420892623400752,0.4407500043466273,-1.0
745,0.608151664183376,0.5736460042424174,0.4185574610753216,-1.0
1296,0.3787110955493309,0.4463042933222672,0.4577555157865615,-1.0
1158,0.4139717048009471,0.3454446497024709,0.3284467669010029,-1.0
318,0.5342881595027507,0.5021221582770338,0.4492501006320781,-1.0
251,0.4934117429187175,0.3813786312697863,0.2944316243118131,-1.0
1097,0.3936632121831363,0.546238738870238,0.5020239186493457,-1.0
172,0.4855471024625656,0.4813620783530114,0.4871324289379501,-1.0
1224,0.4708079159504291,0.4520192210231491,0.3998876774045413,-1.0
243,0.3818945780118093,0.548458547926434,0.7527422496285519,-1.0
658,0.297772757710957,0.3111395462038882,0.3093630879865319,-1.0
30,0.4173756773192227,0.4358084415682644,0.44954255425361,-1.0
43,0.5126036510958694,0.5410361512113107,0.4696221793389025,-1.0
2549,0.5955830814054908,0.5692229954256536,0.515923281304287,-1.0
1316,0.5523305825899877,0.4781753120976663,0.365169380943278,-1.0
1777,0.5348629359136527,0.5364297167619206,0.4792568039615784,-1.0
2544,0.5575809939912618,0.5666939277909945,0.4564685569922368,-1.0
2531,0.5739329928721778,0.5054494225002077,0.2952984633924275,-1.0
2527,0.5607922688843702,0.5170267999561654,0.4677624492148339,-1.0
2292,0.4627801200043554,0.4985377162155306,0.3555209156482173,-1.0
2284,0.4401609898326608,0.4826435917357995,0.3582119017185059,-1.0
2376,0.4993566001035655,0.5441770872209714,0.4552792160635298,-1.0
1697,0.5757879546679248,0.540456071795342,0.5462502237071943,-1.0
1753,0.4948063919249773,0.5213398972441942,0.4774600078981286,-1.0
1779,0.5854825628548257,0.5799097132770383,0.5492254663422547,-1.0
2435,0.4816214758092585,0.4270348648335073,0.3645762269404803,-1.0
2351,0.4952025868113612,0.5647888102609465,0.3540616695972355,-1.0
1913,0.4627471466708029,0.4738272193874689,0.4796424064787487,-1.0
2517,0.5089219458332476,0.4768337081651074,0.4672371706505401,-1.0
2103,0.4740723147856527,0.4221634772871084,0.3638496060819365,-1.0
2066,0.4751185991283303,0.5057032807017212,0.4309888858014364,-1.0
1419,0.5652087269311645,0.4952718093225314,0.2962106802437905,-1.0
1303,0.4688681844746768,0.517295974695909,0.2658604161848663,-1.0
4320,0.5838452602858145,0.6063843480499421,0.4695002878910431,-1.0
4658,0.4423445674979417,0.4849415951545146,0.3180254366107848,-1.0
4175,0.4321195763983875,0.4379806280575078,0.3825365899586433,-1.0
5021,0.6012755428469417,0.4663090028294767,0.2604085482281283,-1.0
4316,0.3843553376524835,0.3544003488280271,0.2605253707156125,-1.0
5046,0.4937890773630018,0.5178910560919563,0.4866541718797509,-1.0
5066,0.6319057091127469,0.5500858833798805,0.4633876941417578,-1.0
4084,0.3921312297729043,0.3853369734915031,0.3026387004957472,-1.0
4014,0.4579725496674798,0.4378380676572628,0.4408652491229434,-1.0
4063,0.4984262315467972,0.5917769745277746,0.4892297519959296,-1.0
4592,0.4892091238766359,0.3941047479042635,0.3725530811492206,-1.0
4122,0.6458380362640127,0.5386407854777658,0.3085189042223483,-1.0
4563,0.5044967077151876,0.5290133292744607,0.398239027963413,-1.0
4451,0.5489563018262287,0.5264057421232238,0.3538490220395723,-1.0
4466,0.2749711552753614,0.3203056185828186,0.2305853446626378,-1.0
4939,0.4602661470777865,0.4243698325558463,0.2651915154359616,-1.0
4802,0.5724935300385064,0.4707218382792424,0.3432907301846442,-1.0
4535,0.5494938141413102,0.5315073261486492,0.4228371785968431,-1.0
5190,0.4875356509515191,0.4462297464805207,0.3351904675703768,-1.0
4305,0.6270536883001252,0.5487560595230977,0.4459158315986509,-1.0
3511,0.4148281649892127,0.4408718295309015,0.4772960213999687,-1.0
2949,0.6179041307803135,0.5420250700027258,0.4626718916488783,-1.0
2646,0.2988114117484406,0.3487186994250209,0.3872284708159497,-1.0
3675,0.3950636894196009,0.3891444054837894,0.3921798949783113,-1.0
3040,0.4503297350020986,0.447881704673947,0.4435073945781558,-1.0
2658,0.463064501818827,0.5018852264303766,0.5932822172804314,-1.0
3726,0.3961099112888065,0.3745950167983346,0.3169972304581512,-1.0
3770,0.4154922247801505,0.4181362153498376,0.436456777942846,-1.0
2633,0.3587994114650155,0.3883096934642266,0.3552118787785378,-1.0
3417,0.6420001070862053,0.5862939827423701,0.556269403766144,-1.0
3512,0.6118910330205656,0.4950007751162905,0.3318260149819124,-1.0
3599,0.3143790976725429,0.425064101024816,0.5540196974149573,-1.0
3017,0.3319240098173932,0.3978690968286461,0.4597215564716283,-1.0
3360,0.4283061246950156,0.3941756000141865,0.2959074975767621,-1.0
3049,0.5109779631054073,0.5383284077567709,0.5857212258613012,-1.0
3730,0.3369506093709715,0.4531627697761512,0.5675066994065784,-1.0
3694,0.4367348862829843,0.4601007934237985,0.4096666878528829,-1.0
2837,0.3780026662702311,0.3831263529266727,0.410148264446628,-1.0
3877,0.3447541977657243,0.4236395853366469,0.5611423084554747,-1.0
3653,0.4545824268238291,0.4986995631730727,0.4858833062657256,-1.0
