,R,G,B,label
5732,0.4846878965371625,0.4613263661528009,0.3777482832425266,1.0
5201,0.4699381505764103,0.5279373467660069,0.3612278020671853,1.0
5734,0.4805926805822829,0.4952075697507199,0.4209143324965268,1.0
5982,0.5735297554270004,0.5400294785879299,0.5116436603852836,1.0
5509,0.588111780145129,0.5852215531882045,0.5874509803921568,1.0
5726,0.5690341354870654,0.495878471110952,0.3946331272556455,1.0
5548,0.6324099687061971,0.5682092779193497,0.4669064791747914,1.0
6414,0.5346446036348546,0.4968595090561225,0.4373854658461892,1.0
5592,0.4711340999375036,0.4549087548463935,0.300709102108454,1.0
6117,0.4991475399537184,0.5617435451287777,0.3577203936657409,1.0
5571,0.4546068815620154,0.4276917620418241,0.3275326407316852,1.0
6399,0.5384965350118948,0.4936293718693204,0.4373859656899685,1.0
5277,0.5706798339287078,0.5916526200977474,0.5226878847384404,1.0
6297,0.5,0.5,0.5,1.0
6120,0.4491698302439801,0.4853565202278861,0.4744698315112214,1.0
5344,0.4947574658278612,0.4713648956850499,0.3938758527090253,1.0
6204,0.4838656094282139,0.5151912568306011,0.4477677615149065,1.0
5638,0.4841858429970435,0.5274870969223592,0.4432706491547427,1.0
5673,0.4604064959416434,0.4382869767390223,0.4082576499920825,1.0
5357,0.5099912380100775,0.4903727314540022,0.4877028940261729,1.0
948,0.4543941638393782,0.5086067440786225,0.6465325496567433,-1.0
789,0.4369642338369069,0.3973882697635489,0.3960794633914515,-1.0
1110,0.4058397976159255,0.3845277002330114,0.4525761059170539,-1.0
555,0.5110410859353932,0.4556922449102734,0.2574155099677371,-1.0
960,0.4868496474261383,0.5248889597741979,0.6434117743720609,-1.0
454,0.4046847859304606,0.3907117578051834,0.3587509734914579,-1.0
702,0.391220821721423,0.4019498525206268,0.3773864628461298,-1.0
518,0.4883186284909268,0.4795961125416152,0.438292213851809,-1.0
255,0.4447812412140449,0.4275091373932875,0.3798052441148881,-1.0
45,0.514480002273007,0.4731365288024725,0.4075673246811739,-1.0
331,0.5183988891967376,0.4657028028037592,0.3568156123908066,-1.0
573,0.37088769395108,0.3448941755834375,0.3050942371408397,-1.0
623,0.3589619521208986,0.3475766760216988,0.303118002133093,-1.0
367,0.4250335292946066,0.493797171727415,0.2036607862919683,-1.0
5,0.3767802072974453,0.4451995891233442,0.3824705098951235,-1.0
1256,0.4886108671331074,0.4930236403701649,0.4111066243123515,-1.0
1139,0.4386783204438151,0.4350429629740919,0.3479463786025233,-1.0
762,0.5539992266029489,0.4942218806120021,0.299252661337229,-1.0
208,0.4499144034411784,0.401353015950476,0.3562293961539925,-1.0
293,0.5551957432743225,0.5404885896360194,0.516915723026214,-1.0
2047,0.6127912951118036,0.4786225136334304,0.3162492212254651,-1.0
1615,0.4724669929973453,0.3927222385000536,0.3262031650934086,-1.0
2105,0.5294440430993407,0.5097386474840786,0.4888171249686182,-1.0
2597,0.4259725404063162,0.4169929738649625,0.356242272984621,-1.0
1417,0.4831119620749247,0.4275941280349031,0.3513711167562224,-1.0
2348,0.4823686450393069,0.4317243155471382,0.3733838369562144,-1.0
2083,0.5840422535518791,0.5390356268709183,0.339376458797765,-1.0
2084,0.5447749266457468,0.5254366931209067,0.4581729447716429,-1.0
1567,0.507819172434104,0.4512091510142563,0.3890151201107744,-1.0
2404,0.5131486257869483,0.4930067796695636,0.408665320313544,-1.0
1602,0.4782235231547744,0.484631919514249,0.4496151299237951,-1.0
1512,0.5971039060742382,0.6338356316677303,0.3672043307255489,-1.0
2538,0.5314510154889803,0.4304951911084704,0.2785868640110905,-1.0
1811,0.4742699300748419,0.4741024047089729,0.4963123347135738,-1.0
2479,0.4086063900997534,0.446695921291081,0.2946692196862092,-1.0
1863,0.5105726837785489,0.5348294496265447,0.3533268352822272,-1.0
2067,0.4598305039607271,0.4531444651908754,0.4194505187758488,-1.0
2562,0.4543878151504887,0.4365034846603097,0.2719282984525166,-1.0
1509,0.5516195476449798,0.5373846900156908,0.4541190537511623,-1.0
1345,0.5712398858072396,0.5222646220050635,0.3079771165804588,-1.0
4322,0.6064744918038375,0.4999924910891595,0.3892494763732919,-1.0
5180,0.4343733434810765,0.3620280798734203,0.2620647986807934,-1.0
4813,0.4625469642653363,0.420268102483544,0.2726862393730863,-1.0
4621,0.4380851120841807,0.3261634241402514,0.2078000619838993,-1.0
4847,0.3822335230990488,0.4306979865750322,0.3347916139339555,-1.0
4587,0.4792184382524939,0.4334752960833455,0.3360990712074303,-1.0
4128,0.492708481959121,0.4209210906336327,0.3519904496888257,-1.0
4197,0.4234982930850727,0.5153602253664799,0.3631472013995616,-1.0
4044,0.4223236024934094,0.4115634094972816,0.3675235773502943,-1.0
5130,0.4807940841384224,0.4640844441152367,0.3573103499359809,-1.0
4753,0.4600322309497325,0.5225168950578938,0.5045239550927438,-1.0
4101,0.5150727696545164,0.4272130798684893,0.3317466934943443,-1.0
5149,0.5033491883400244,0.4419270378774655,0.300289786207922,-1.0
5100,0.5630440559732294,0.5009623088316595,0.3435287153678044,-1.0
4529,0.5970043904125418,0.6043855672061526,0.5416234335817914,-1.0
4959,0.6434150441954887,0.546203021987634,0.4023569751192173,-1.0
4909,0.410486066025975,0.373020394229509,0.2735550150419253,-1.0
4634,0.4976900748170457,0.4291935850642741,0.2382655293000695,-1.0
4671,0.6164465356670114,0.4678164004831566,0.2901302891308181,-1.0
5091,0.5197958996984762,0.4686967627531903,0.3009346534235442,-1.0
2713,0.3988700023736762,0.4454029980701905,0.4252214278035192,-1.0
3729,0.5138814644800652,0.503489924604203,0.4809738520959044,-1.0
3528,0.381489315255756,0.3333925272334183,0.2396807344840169,-1.0
3406,0.5160894101639946,0.4586788564309879,0.3786750460421979,-1.0
2913,0.3617457226850948,0.4935930838465182,0.5474156728063087,-1.0
3680,0.4363066023325893,0.3939421227478016,0.4298404101882868,-1.0
3586,0.4169397107201528,0.4285439800614023,0.440008399244068,-1.0
3405,0.307278785860799,0.3553199925781141,0.3327361934706043,-1.0
2993,0.417413487133984,0.433602571463368,0.4403648415888094,-1.0
3746,0.4206306941665826,0.5595564447131107,0.728116729115592,-1.0
3510,0.5053851509778018,0.5573773734642983,0.5686712524795339,-1.0
3217,0.3130547445500055,0.4241005284504718,0.472575602222813,-1.0
3087,0.4619464647685772,0.5259692635836536,0.5796066435942058,-1.0
3264,0.4047247311378676,0.379588530096542,0.3501386190402131,-1.0
2846,0.5596854361410457,0.5712085074676818,0.563532275825516,-1.0
3277,0.4649542198639396,0.4469305641985455,0.4577844704868946,-1.0
3562,0.3535993455979895,0.4132602512666931,0.5018692971905381,-1.0
3852,0.4958759117981663,0.534913671953423,0.5034775480157934,-1.0
2935,0.3752202079872716,0.3901407085616021,0.4302803135642746,-1.0
3195,0.2905546891498936,0.344424476501454,0.3959086700131585,-1.0
