group	shap	formula
1	0.0072051639646339375	¬ Glucose_Low ⊗ ¬ Age_Low ⊗ ¬ BMI_Low → Outcome
1	0.0035819557445752183	¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Medium → ¬ Outcome
1	0.00229846682688498	¬ Pregnancies_High ⊗ Age_Low → ¬ Outcome
1	0.010348861715906947	¬ Glucose_High ⊗ BMI_Low → ¬ Outcome
1	0.001953056585081891	¬ DiabetesPedigreeFunction_High ⊗ Glucose_Low → ¬ Outcome
1	0.002629830533208598	¬ Glucose_High ⊗ ¬ Age_Medium ⊗ ¬ SkinThickness_Low ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ BloodPressure_Low → ¬ Outcome
1	0.004309612333433744	¬ Glucose_High ⊗ ¬ Age_Low ⊗ Pregnancies_Medium → ¬ Outcome
1	0.005370803269395206	¬ Age_Medium ⊗ BMI_Low ⊗ ¬ BloodPressure_Medium → ¬ Outcome
1	0.006173775304847308	¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome
1	0.0015279864679456517	¬ Glucose_Low ⊗ ¬ Pregnancies_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BMI_High ⊗ ¬ Age_Medium → ¬ Outcome
1	0.002104603385116844	¬ DiabetesPedigreeFunction_Low ⊗ BMI_Medium → Outcome
1	0.0035996958241833257	¬ Glucose_High ⊗ BloodPressure_Medium ⊗ ¬ Age_Medium → ¬ Outcome
1	0.0017244276691000709	¬ Age_Low ⊗ ¬ BloodPressure_Low ⊗ SkinThickness_Medium → Outcome
1	0.0036810764157707322	¬ Glucose_High ⊗ ¬ Pregnancies_High → ¬ Outcome
1	0.008075351538541269	¬ BMI_Low ⊗ Glucose_High ⊗ ¬ BloodPressure_Medium → Outcome
1	0.001726799467210455	¬ Age_Medium ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome
1	0.004309612333433744	Age_Low ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_Medium → ¬ Outcome
1	0.006685866077830334	¬ BMI_Low ⊗ ¬ Pregnancies_Medium → Outcome
1	0.002499336019937894	¬ BMI_Medium ⊗ ¬ Glucose_Low ⊗ SkinThickness_Medium → Outcome
1	0.007426792569760497	¬ Glucose_High ⊗ ¬ BMI_High ⊗ BMI_Low → ¬ Outcome
1	0.0007738225652651776	¬ Pregnancies_Medium ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome
1	0.005889427059616376	¬ BMI_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Glucose_Low ⊗ ¬ BMI_Medium → Outcome
1	0.0059583340208772834	BMI_Low ⊗ Pregnancies_Low ⊗ ¬ Age_High → ¬ Outcome
1	0.0027611476151697	¬ Glucose_High ⊗ ¬ Pregnancies_High ⊗ ¬ BloodPressure_Low → ¬ Outcome
1	0.008292214914956493	¬ BMI_Low ⊗ ¬ Glucose_Low → Outcome
1	0.0015866970864347944	BMI_Medium ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ SkinThickness_Low → ¬ Outcome
1	0.0022369698155508574	Age_Low ⊗ ¬ SkinThickness_Low → ¬ Outcome
1	0.005647250968549684	¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ ¬ BMI_Low ⊗ Pregnancies_Low ⊗ ¬ SkinThickness_Medium ⊗ SkinThickness_Low → Outcome
1	0.0034052941567025486	¬ BloodPressure_High ⊗ ¬ BMI_Medium ⊗ ¬ Glucose_High → ¬ Outcome
1	0.002675227663763095	¬ Glucose_High ⊗ ¬ BMI_High ⊗ ¬ BloodPressure_Medium → ¬ Outcome
1	0.0006594658692112102	¬ BloodPressure_Low ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome
1	0.00042944431798548854	BloodPressure_Low ⊗ SkinThickness_Low → ¬ Outcome
1	0.00805458205218095	Glucose_High ⊗ ¬ BMI_Low ⊗ ¬ SkinThickness_High → Outcome
1	0.005778066607496574	¬ BMI_Low ⊗ ¬ Pregnancies_High ⊗ SkinThickness_Medium ⊗ ¬ Glucose_High → ¬ Outcome
1	0.0009555491902919194	¬ Age_Medium ⊗ ¬ BloodPressure_Low ⊗ BloodPressure_Medium → ¬ Outcome
1	0.0006594658692112102	¬ BloodPressure_Low ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome
1	0.005524615832836126	¬ Glucose_High ⊗ Pregnancies_Low ⊗ Age_Low → ¬ Outcome
2	0.0024315140667791725	Pregnancies_Low ⊕ Pregnancies_Medium ⊕ Pregnancies_High
2	0.008486578637460688	Glucose_Low ⊕ Glucose_Medium ⊕ Glucose_High
2	0.00046350591068266504	BloodPressure_Low ⊕ BloodPressure_Medium ⊕ BloodPressure_High
2	0.00045831225300957455	SkinThickness_Low ⊕ SkinThickness_Medium ⊕ SkinThickness_High
2	0.011167563716982699	BMI_Low ⊕ BMI_Medium ⊕ BMI_High
2	0.0011369721486751948	DiabetesPedigreeFunction_Low ⊕ DiabetesPedigreeFunction_Medium ⊕ DiabetesPedigreeFunction_High
2	0.004520001470047	Age_Low ⊕ Age_Medium ⊕ Age_High
