,folder,name,width,height,depth,R,G,B
0,penguin,8065,1200,1600,3,0.4866401774170523,0.4400849358815565,0.3422309027299927
1,penguin,8610,468,500,3,0.4273326439522175,0.4069667011357224,0.3766602778161987
2,penguin,8445,500,375,3,0.509321256435535,0.5121039977909226,0.3985797892248147
3,penguin,1188,85,62,3,0.581644880174292,0.5726092191262471,0.5495499369338379
4,penguin,8237,375,500,3,0.5054750760025093,0.5176792291978318,0.4222798225114492
5,penguin,10362,500,335,3,0.3767802072974453,0.4451995891233442,0.3824705098951235
6,penguin,9030,500,375,3,0.4922477685103892,0.5149520778460639,0.5147934957565116
7,penguin,4836,375,500,3,0.6264846534748849,0.587604606205404,0.4419485815944458
8,penguin,1970,500,357,3,0.4183685128367207,0.4110667905437128,0.3051482516617668
9,penguin,8242,345,500,3,0.4372679116764399,0.4650303246464459,0.4287160051126181
10,penguin,333,500,400,3,0.4946381449283264,0.5272768373904223,0.5738140270881541
11,penguin,8295,375,500,3,0.4781942223106089,0.478652463794908,0.4478472080227739
12,penguin,1924,632,800,3,0.5073468220813974,0.4837106790877284,0.4569217389710908
13,penguin,9785,334,500,3,0.3948823572591335,0.4238230328466996,0.4899813320321889
14,penguin,8684,375,500,3,0.3265366452183589,0.3267966881149743,0.2465406400251102
15,penguin,1691,1440,2160,3,0.4384945072054446,0.4514129097021526,0.4545070543028385
16,penguin,9638,340,500,3,0.4797009991736158,0.4493715683447193,0.3690534871716576
17,penguin,9227,500,333,3,0.4735331367144191,0.4455977667830896,0.4168902366876871
18,penguin,9464,375,500,3,0.6142447079533357,0.5521798872024929,0.4148107766236785
19,penguin,7339,312,468,3,0.5687490897221118,0.4870926071895667,0.2835334663894299
20,penguin,4215,507,676,3,0.5141441522278484,0.56465071556202,0.5683313079662102
21,penguin,8369,500,333,3,0.4629490287430788,0.421363689184351,0.3803631390550808
22,penguin,9041,375,500,3,0.4065776503146745,0.3660881642888563,0.3106350641298738
23,penguin,15798,375,500,3,0.4885561372210686,0.4770219566784395,0.440611683505912
24,penguin,3318,333,500,3,0.5183568329330616,0.4956746354335579,0.3710324155893139
25,penguin,8797,375,500,3,0.5692013513940197,0.5178785218864786,0.4030800837780093
26,penguin,936,500,333,3,0.4362577045091917,0.4391444668098553,0.4494015690772581
27,penguin,9720,372,500,3,0.4193463742012352,0.3750625282156536,0.4002393152846232
28,penguin,9666,500,333,3,0.5001124904478967,0.4635009014048671,0.398033203416015
29,penguin,6235,700,465,3,0.5695557743457113,0.5690843631981897,0.4876848246168315
30,penguin,9303,375,500,3,0.4173756773192227,0.4358084415682644,0.44954255425361
31,penguin,9232,500,375,3,0.4961525977221775,0.4882685774115852,0.46872826227785
32,penguin,9628,375,500,3,0.3992044577208793,0.4360585689111472,0.3885642474949178
33,penguin,9615,357,500,3,0.5969979556177842,0.5655652498218211,0.5227919908258283
34,penguin,1608,1200,1600,3,0.486639536086384,0.4218055764328941,0.405940686906576
35,penguin,12752,357,500,3,0.6538214185034268,0.6286009870688318,0.5593330473828109
36,penguin,863,333,500,3,0.5344169977863606,0.4746713347596951,0.3842661183509776
37,penguin,2175,120,78,3,0.4118630984414836,0.4012584462673342,0.3306549900248428
38,penguin,13462,334,500,3,0.5399173142572865,0.5182769009077486,0.3382998882304117
39,penguin,9302,500,333,3,0.5882193469937536,0.5033381222166692,0.3518581958961785
40,penguin,1396,500,375,3,0.4550380082648844,0.4541600382169742,0.430296691727231
41,penguin,7245,500,375,3,0.5031132716482757,0.5276461065947492,0.5296084725766181
42,penguin,5298,500,375,3,0.4879288728137482,0.4967576304083061,0.5023295786682175
43,penguin,116,375,500,3,0.5126036510958694,0.5410361512113107,0.4696221793389025
44,penguin,8762,333,500,3,0.4293961258035815,0.4544739407300786,0.2801663797004012
45,penguin,8413,450,337,3,0.514480002273007,0.4731365288024725,0.4075673246811739
46,penguin,144,427,640,3,0.5504674621978352,0.4724959223357026,0.3638526143447178
47,penguin,5628,500,500,3,0.469474560097897,0.4799935290553822,0.4527467678312365
48,penguin,9503,500,375,3,0.5175617010209593,0.4990485420635396,0.4519882366278333
49,penguin,7584,500,375,3,0.4396987321077401,0.4726950685186911,0.4787580325315546
50,penguin,8799,424,500,3,0.4152039603078141,0.4211699460936288,0.4179623716386865
51,penguin,6234,386,540,3,0.3755047182974264,0.3839640532367463,0.4009283865633492
52,penguin,8754,500,334,3,0.49565356152634,0.4726144645718579,0.4218920528536948
53,penguin,8399,375,500,3,0.4862948349300364,0.4706617768292719,0.4414195709036964
54,penguin,8702,375,500,3,0.3973288654494666,0.4668279224018211,0.500464546411197
55,penguin,1039,375,500,3,0.454436005551195,0.4933559894662258,0.5573570758100977
56,penguin,1607,480,626,3,0.5156202949319315,0.472024594611818,0.4085678183160595
57,penguin,9228,393,500,3,0.530640208452993,0.4837095667035569,0.3844178585937828
58,penguin,9774,333,500,3,0.5562567244142899,0.5363645346156379,0.5072422399344209
59,penguin,1707,720,469,3,0.4011105644666941,0.3627206868190678,0.3207157787033177
60,penguin,9587,250,500,3,0.5373968113848541,0.4882046652221598,0.4177709119118316
61,penguin,2568,303,200,3,0.367069503246458,0.3932363748033005,0.4585788347959264
62,penguin,7053,500,400,3,0.4884616392984173,0.4902051089340802,0.513334848127336
63,penguin,1755,500,334,3,0.4507374602999673,0.4493651588440532,0.4259418001713779
64,penguin,24051,500,334,3,0.6041683511256628,0.5957222886133534,0.4913426952232445
65,penguin,3283,768,664,3,0.4783544571315934,0.4757606701090633,0.4501579966632729
66,penguin,12798,334,500,3,0.4788948514154195,0.4546113864059664,0.4156708193600338
67,penguin,3932,400,255,3,0.5329719154476783,0.5321467282788521,0.581631112140218
